# Gross National Product: Implicit Price Deflator (GNPDEF)
# SOURCE: https://fred.stlouisfed.org/series/GNPDEF
DATE,GNPDEF
1947-01-01,12.535
1947-04-01,12.716
1947-07-01,12.929
1947-10-01,13.247
1948-01-01,13.350
1948-04-01,13.468
1948-07-01,13.716
1948-10-01,13.757
1949-01-01,13.685
1949-04-01,13.548
1949-07-01,13.478
1949-10-01,13.486
1950-01-01,13.459
1950-04-01,13.507
1950-07-01,13.800
1950-10-01,14.056
1951-01-01,14.559
1951-04-01,14.655
1951-07-01,14.666
1951-10-01,14.833
1952-01-01,14.827
1952-04-01,14.846
1952-07-01,15.011
1952-10-01,15.053
1953-01-01,15.059
1953-04-01,15.088
1953-07-01,15.152
1953-10-01,15.182
1954-01-01,15.229
1954-04-01,15.245
1954-07-01,15.264
1954-10-01,15.307
1955-01-01,15.382
1955-04-01,15.446
1955-07-01,15.555
1955-10-01,15.708
1956-01-01,15.866
1956-04-01,15.960
1956-07-01,16.159
1956-10-01,16.227
1957-01-01,16.447
1957-04-01,16.563
1957-07-01,16.663
1957-10-01,16.673
1958-01-01,16.853
1958-04-01,16.902
1958-07-01,17.004
1958-10-01,17.085
1959-01-01,17.131
1959-04-01,17.156
1959-07-01,17.221
1959-10-01,17.288
1960-01-01,17.360
1960-04-01,17.405
1960-07-01,17.468
1960-10-01,17.521
1961-01-01,17.560
1961-04-01,17.603
1961-07-01,17.650
1961-10-01,17.707
1962-01-01,17.800
1962-04-01,17.829
1962-07-01,17.866
1962-10-01,17.902
1963-01-01,17.980
1963-04-01,18.010
1963-07-01,18.033
1963-10-01,18.179
1964-01-01,18.237
1964-04-01,18.281
1964-07-01,18.356
1964-10-01,18.439
1965-01-01,18.533
1965-04-01,18.616
1965-07-01,18.690
1965-10-01,18.817
1966-01-01,18.939
1966-04-01,19.095
1966-07-01,19.280
1966-10-01,19.444
1967-01-01,19.525
1967-04-01,19.624
1967-07-01,19.811
1967-10-01,20.029
1968-01-01,20.252
1968-04-01,20.466
1968-07-01,20.668
